Tensao,Corrente
12.21,-0.32
12.21,-0.39
12.21,-0.29
12.21,-0.32
12.21,-0.28
12.23,-0.38
12.21,-0.31
12.21,-0.32
12.23,-0.32
12.21,-0.30
12.21,-0.30
12.23,-0.34
12.21,-0.34
12.21,-0.35
12.21,-0.35
12.21,-0.30
12.23,-0.34
12.23,-0.32
12.23,-0.32
12.23,-0.38
12.23,-0.32
12.23,-0.32
12.21,-0.32
12.23,-0.34
12.26,-0.41
12.23,-0.35
12.23,-0.33
12.23,-0.34
12.23,-0.31
12.23,-0.35
12.23,-0.31
12.23,-0.35
12.23,-0.34
12.21,-0.30
12.23,-0.29
12.23,-0.29
12.23,-0.33
12.23,-0.35
12.23,-0.34
12.23,-0.33
12.21,-0.33
12.21,-0.33
12.21,-0.32
12.21,-0.32
12.23,-0.35
12.21,-0.34
12.21,-0.31
12.21,-0.37
12.21,-0.31
12.21,-0.31
12.21,-0.31
12.21,-0.34
12.21,-0.34
12.21,-0.33
12.21,-0.32
12.21,-0.34
12.21,-0.35
12.21,-0.31
12.21,-0.36
12.21,-0.31
12.21,-0.36
12.21,-0.27
12.21,-0.34
12.21,-0.34
12.21,-0.34
12.21,-0.35
12.21,-0.29
12.21,-0.34
12.21,-0.36
12.21,-0.30
12.21,-0.34
12.21,-0.34
12.21,-0.32
12.21,-0.29
12.21,-0.32
12.21,-0.27
12.21,-0.32
12.23,-0.30
12.21,-0.34
12.21,-0.37
12.21,-0.32
12.21,-0.35
12.21,-0.31
12.21,-0.31
12.21,-0.33
12.21,-0.32
12.21,-0.37
12.21,-0.32
12.21,-0.33
12.21,-0.34
12.23,-0.31
12.21,-0.34
12.21,-0.32
12.21,-0.29
12.21,-0.35
12.21,-0.34
12.21,-0.31
12.21,-0.35
12.21,-0.37
12.21,-0.34
12.21,-0.32
12.21,-0.32
12.21,-0.33
12.21,-0.30
12.21,-0.28
12.21,-0.30
12.21,-0.33
12.21,-0.32
12.21,-0.31
12.21,-0.36
12.21,-0.29
12.21,-0.35
12.21,-0.34
12.21,-0.30
12.21,-0.33
12.21,-0.35
12.21,-0.32
12.21,-0.36
12.21,-0.34
12.21,-0.33
12.21,-0.32
12.21,-0.35
12.21,-0.28
12.21,-0.32
12.21,-0.34
12.21,-0.36
12.21,-0.33
12.21,-0.34
12.21,-0.35
12.21,-0.36
12.21,-0.32
12.21,-0.37
12.21,-0.33
12.21,-0.31
12.21,-0.29
12.21,-0.30
12.21,-0.34
12.21,-0.33
12.21,-0.31
12.21,-0.32
12.21,-0.33
12.21,-0.37
12.21,-0.30
12.21,-0.35
12.21,-0.33
12.21,-0.33
12.21,-0.31
12.21,-0.31
12.21,-0.32
12.21,-0.35
12.23,-0.38
12.21,-0.34
12.21,-0.36
12.21,-0.33
12.21,-0.32
12.21,-0.33
12.21,-0.33
12.21,-0.34
12.21,-0.32
12.21,-0.34
12.21,-0.33
12.21,-0.34
12.21,-0.31
12.23,-0.30
12.21,-0.32
12.21,-0.35
12.21,-0.35
12.21,-0.34
12.23,-0.31
12.21,-0.31
12.21,-0.32
12.21,-0.31
12.23,-0.28
12.21,-0.29
12.21,-0.31
12.21,-0.31
12.21,-0.34
12.21,-0.28
12.21,-0.35
12.21,-0.38
12.21,-0.33
12.21,-0.34
12.21,-0.32
12.21,-0.34
12.21,-0.35
12.21,-0.32
12.21,-0.31
12.21,-0.30
12.21,-0.32
12.21,-0.23
12.21,-0.34
12.21,-0.33
12.21,-0.28
12.21,-0.32
12.21,-0.33
12.21,-0.30
12.21,-0.35
12.21,-0.35
12.21,-0.30
12.21,-0.34
12.21,-0.29
12.21,-0.33
12.21,-0.35
12.21,-0.31
12.21,-0.32
12.21,-0.30
12.21,-0.35
12.21,-0.29
12.21,-0.32
12.18,34.11
12.21,32.72
12.21,32.70
12.18,35.16
12.21,31.91
12.18,32.67
12.18,34.30
12.21,32.92
12.18,46.00
12.16,137.22
12.16,189.83
12.13,153.08
12.18,28.63
12.21,33.43
12.18,32.53
12.18,29.55
12.21,29.69
12.21,28.92
12.21,29.78
12.18,28.69
12.18,133.43
12.21,30.38
12.16,128.73
12.21,29.72
12.18,36.92
12.21,29.18
12.21,31.89
12.18,32.05
12.21,28.71
12.18,29.61
12.21,29.56
12.21,29.75
12.16,132.81
12.13,133.15
12.21,28.86
12.21,29.23
12.18,29.25
12.21,29.54
